16:45:17  [main] 	Initializing Control Panel
16:45:17  [main] 	Windows Version: Windows 8.1  64-bit
16:45:17  [main] 	XAMPP Version: 5.6.15
16:45:17  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
16:45:17  [main] 	You are not running with administrator rights! This will work for
16:45:17  [main] 	most application stuff but whenever you do something with services
16:45:17  [main] 	there will be a security dialogue or things will break! So think 
16:45:17  [main] 	about running this application with administrator rights!
16:45:17  [main] 	XAMPP Installation Directory: "c:\home\fontenaypayload\xampp\"
16:45:17  [main] 	Checking for prerequisites
16:49:00  [main] 	All prerequisites found
16:49:00  [main] 	Initializing Modules
16:49:00  [main] 	The Mercury module is disabled
16:49:00  [main] 	The Tomcat module is disabled
16:49:00  [main] 	Starting Check-Timer
16:49:00  [main] 	Control Panel Ready
16:49:39  [main] 	Deinitializing Modules
16:49:39  [main] 	Deinitializing Control Panel

